,airline_sentiment,text
584,negative,"@united as a 1k, I'm always hoping for improvement."
585,negative,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?
586,negative,@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.
587,negative,@united mobile apps need construction from the ground up for each OS category.  It's expensive to get right .
588,negative,@united another fail for the United ticket agents in OKC. LESS than helpful and could care less about our problems. American here we come.
589,positive,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat."
590,neutral,@united the os isn't controlled by me but rather @VerizonWireless .  App is new.
591,negative,"@united I just sent an email to Customer Care, telling them I may have to break up with you ðŸ˜¢. I sincerely hope they can help me!!"
592,negative,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk
593,negative,@united What is your phone number. I can't find who to call about a flight reservation.
594,negative,"@united well, you can't fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it."
595,negative,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did."
596,negative,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12
597,negative,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.
598,positive,@united for the record- Rozana at Newark was lovely and helpful. #choosekind
599,neutral,@united It was last night's 1235/ORD-LGA.
